2019/12/21 17:01:29 - train_logger - INFO - 74 - train - This training task is set as following:                  num_epochs:30,                  learning_rate:0.0001                  weight_decay:0.0                  =======================================
2019/12/21 17:01:59 - train_logger - INFO - 129 - train - Epoch [1/30], Step 90, train Loss: 9603.1465
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 91, train Loss: 29959.7832
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 92, train Loss: 8534.0479
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 93, train Loss: 8466.5127
2019/12/21 17:02:01 - train_logger - INFO - 129 - train - Epoch [1/30], Step 94, train Loss: 17038.1133
2019/12/21 17:02:01 - train_logger - INFO - 129 - train - Epoch [1/30], Step 95, train Loss: 8051.0850
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 96, train Loss: 9792.7236
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 97, train Loss: 20766.7695
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 98, train Loss: 10038.1934
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 99, train Loss: 15175.3457
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 100, train Loss: 39724.4492
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 101, train Loss: 4729.2334
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 102, train Loss: 7906.0640
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 103, train Loss: 7593.4385
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 104, train Loss: 9766.2793
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 105, train Loss: 14350.3135
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 106, train Loss: 14196.3438
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 107, train Loss: 5527.0713
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 108, train Loss: 3958.5222
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 109, train Loss: 17679.8594
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 110, train Loss: 6900.2983
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 111, train Loss: 6309.1665
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 112, train Loss: 13879.0986
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 113, train Loss: 13075.4102
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 114, train Loss: 14144.8877
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 115, train Loss: 17305.3887
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 116, train Loss: 17073.9219
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 117, train Loss: 6453.6870
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 118, train Loss: 8073.7202
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 119, train Loss: 9513.5420
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 120, train Loss: 7038.4883
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 121, train Loss: 15631.1182
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 122, train Loss: 15419.3164
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 123, train Loss: 5182.4365
2019/12/21 17:02:10 - train_logger - INFO - 129 - train - Epoch [1/30], Step 124, train Loss: 5474.1846
2019/12/21 17:02:10 - train_logger - INFO - 129 - train - Epoch [1/30], Step 125, train Loss: 4383.1797
2019/12/21 17:02:10 - train_logger - INFO - 129 - train - Epoch [1/30], Step 126, train Loss: 10044.2393
2019/12/21 17:02:11 - train_logger - INFO - 129 - train - Epoch [1/30], Step 127, train Loss: 15606.2656
2019/12/21 17:02:11 - train_logger - INFO - 129 - train - Epoch [1/30], Step 128, train Loss: 16611.1152
2019/12/21 17:02:11 - train_logger - INFO - 129 - train - Epoch [1/30], Step 129, train Loss: 15482.5752
2019/12/21 17:02:11 - train_logger - INFO - 129 - train - Epoch [1/30], Step 130, train Loss: 8515.1904
2019/12/21 17:02:12 - train_logger - INFO - 129 - train - Epoch [1/30], Step 131, train Loss: 7346.3574
2019/12/21 17:02:12 - train_logger - INFO - 129 - train - Epoch [1/30], Step 132, train Loss: 8467.3721
2019/12/21 17:02:12 - train_logger - INFO - 129 - train - Epoch [1/30], Step 133, train Loss: 12848.4941
2019/12/21 17:02:12 - train_logger - INFO - 129 - train - Epoch [1/30], Step 134, train Loss: 16115.6445
2019/12/21 17:02:13 - train_logger - INFO - 129 - train - Epoch [1/30], Step 135, train Loss: 15263.2803
2019/12/21 17:02:13 - train_logger - INFO - 129 - train - Epoch [1/30], Step 136, train Loss: 21671.1953
2019/12/21 17:02:13 - train_logger - INFO - 129 - train - Epoch [1/30], Step 137, train Loss: 7788.5303
2019/12/21 17:02:14 - train_logger - INFO - 129 - train - Epoch [1/30], Step 138, train Loss: 9009.4561
2019/12/21 17:02:14 - train_logger - INFO - 129 - train - Epoch [1/30], Step 139, train Loss: 9508.1338
2019/12/21 17:02:14 - train_logger - INFO - 129 - train - Epoch [1/30], Step 140, train Loss: 11057.1904
2019/12/21 17:02:15 - train_logger - INFO - 129 - train - Epoch [1/30], Step 141, train Loss: 6317.7305
2019/12/21 17:02:15 - train_logger - INFO - 129 - train - Epoch [1/30], Step 142, train Loss: 16736.8789
2019/12/21 17:02:15 - train_logger - INFO - 129 - train - Epoch [1/30], Step 143, train Loss: 18765.5840
2019/12/21 17:02:16 - train_logger - INFO - 129 - train - Epoch [1/30], Step 144, train Loss: 16532.7754
2019/12/21 17:02:16 - train_logger - INFO - 129 - train - Epoch [1/30], Step 145, train Loss: 14707.1123
2019/12/21 17:02:16 - train_logger - INFO - 129 - train - Epoch [1/30], Step 146, train Loss: 8816.6846
2019/12/21 17:02:16 - train_logger - INFO - 129 - train - Epoch [1/30], Step 147, train Loss: 12104.3535
2019/12/21 17:02:17 - train_logger - INFO - 129 - train - Epoch [1/30], Step 148, train Loss: 8544.0938
2019/12/21 17:02:17 - train_logger - INFO - 129 - train - Epoch [1/30], Step 149, train Loss: 10030.3857
2019/12/21 17:02:17 - train_logger - INFO - 129 - train - Epoch [1/30], Step 150, train Loss: 8865.4111
2019/12/21 17:02:18 - train_logger - INFO - 129 - train - Epoch [1/30], Step 151, train Loss: 12890.1777
2019/12/21 17:02:18 - train_logger - INFO - 129 - train - Epoch [1/30], Step 152, train Loss: 4346.4526
2019/12/21 17:02:18 - train_logger - INFO - 129 - train - Epoch [1/30], Step 153, train Loss: 21073.9121
2019/12/21 17:02:18 - train_logger - INFO - 129 - train - Epoch [1/30], Step 154, train Loss: 7325.0771
2019/12/21 17:02:19 - train_logger - INFO - 129 - train - Epoch [1/30], Step 155, train Loss: 4362.9028
2019/12/21 17:02:19 - train_logger - INFO - 129 - train - Epoch [1/30], Step 156, train Loss: 8606.1699
2019/12/21 17:02:19 - train_logger - INFO - 129 - train - Epoch [1/30], Step 157, train Loss: 4620.7480
